,Parcel ID,Address,sale_date,year,month,year-month,sale_price,yr_built,square_feet,price_sf,lat,long,GEOID,Sub_geo,geometry
309,73503054,805 LANGDON LN,5/29/20,2020,5,2020-5,500000,1992,3295,151.7450683,33.4227769,-84.5889858,13113140207,West Fayette,POINT (-84.5889858 33.4227769)
5223,73517049,122 ARDENLEE,8/21/20,2020,8,2020-8,399900,1996,2635,151.7647059,33.4365532,-84.5999298,13113140210,West Fayette,POINT (-84.5999298 33.4365532)
4296,51831010,115 AMHERST WAY,11/28/22,2022,11,2022-11,463995,2022,3057,151.781158,33.4285832,-84.4502894,13113140405,Fayetteville,POINT (-84.4502894 33.4285832)
5404,73304008,121 PLANTERRA WAY,8/14/20,2020,8,2020-8,314950,1994,2075,151.7831325,33.3909035,-84.59678,13113140303,West Fayette,POINT (-84.59678 33.3909035)
749,73215008,113 ARBOR GATE,10/21/21,2021,10,2021-10,323000,1983,2128,151.7857143,33.4032639,-84.5847514,13113140209,West Fayette,POINT (-84.5847514 33.4032639)
229,74202005,115 RIDGE RD,6/12/20,2020,6,2020-6,194900,1984,1284,151.7912773,33.4266067,-84.4940721,13113140305,West Fayette,POINT (-84.4940721 33.4266067)
1597,52005015,170 SHORELINE DR,1/31/20,2020,1,2020-1,320000,2018,2108,151.8026565,33.4295378,-84.4048936,13113140410,Fayetteville,POINT (-84.4048936 33.4295378)
2676,42101013,379 HUCKABY RD,4/25/19,2019,4,2019-4,470000,2005,3096,151.8087855,33.311906,-84.463605,13113140502,South Fayette,POINT (-84.463605 33.311906)
8177,0543  106,735 GINGER CAKE RD,3/31/23,2023,3,2023-3,324900,1980,2140,151.8224299,33.4918191,-84.4876997,13113140102,Fayetteville,POINT (-84.4876997 33.4918191)
862,52115012,250 OTTER CIR,10/1/21,2021,10,2021-10,372500,2005,2453,151.8548716,33.4441484,-84.5042961,13113140305,West Fayette,POINT (-84.5042961 33.4441484)
7480,51804009,173 DIXON CIR,12/17/20,2020,12,2020-12,325000,1985,2140,151.8691589,33.4308456,-84.4320574,13113140409,Fayetteville,POINT (-84.4320574 33.4308456)
12031,73502021,113 EMERLING LN,10/1/18,2018,10,2018-10,365000,1992,2403,151.8934665,33.4254214,-84.5939982,13113140207,West Fayette,POINT (-84.5939982 33.4254214)
