,Parcel ID,Address,sale_date,sale_price,yr_built,square_feet,full_address,unique_ID,price_sf,sale_year,year,month,year-month
2808,074207005,120 NICOLES NOOK,2019-05-30,445000.0,1999,4541,120 Nicoles Nook Fayette County GA,074207005-5/30/2019-445000.0,97.99603611539308,2019,2019,5,2019-5
2809,0418  082,120 GOODMAN DR,2019-05-30,285000.0,1978,2100,120 Goodman Dr Fayette County GA,0418  082-5/30/2019-285000.0,135.71428571428572,2019,2019,5,2019-5
2810,051104029,400 DERBY DR,2019-05-30,234750.0,1980,1970,400 Derby Dr Fayette County GA,051104029-5/30/2019-234750.0,119.16243654822335,2019,2019,5,2019-5
2811,0518  047,140 MARION BLVD,2019-05-30,210000.0,1977,1914,140 Marion Blvd Fayette County GA,0518  047-5/30/2019-210000.0,109.71786833855799,2019,2019,5,2019-5
2812,060902012,321 SUMMER PL,2019-05-30,253000.0,1988,1396,321 Summer Pl Fayette County GA,060902012-5/30/2019-253000.0,181.23209169054442,2019,2019,5,2019-5
2813,074607006,222 AMELIA LN,2019-05-30,418000.0,2004,2664,222 Amelia Ln Fayette County GA,074607006-5/30/2019-418000.0,156.9069069069069,2019,2019,5,2019-5
2814,053126018,120 RABBITS RUN,2019-05-30,247000.0,2005,2093,120 Rabbits Run Fayette County GA,053126018-5/30/2019-247000.0,118.01242236024845,2019,2019,5,2019-5
2815,052319015,125 LINTON HALL HOLW,2019-05-30,381150.0,2019,3085,125 Linton Hall Holw Fayette County GA,052319015-5/30/2019-381150.0,123.54943273905997,2019,2019,5,2019-5
2816,052909007,110 GINGERBREAD PL,2019-05-30,152000.0,1991,1582,110 Gingerbread Pl Fayette County GA,052909007-5/30/2019-152000.0,96.08091024020227,2019,2019,5,2019-5
2817,072816001,185 NEWFIELD DR,2019-05-30,352500.0,2000,2915,185 Newfield Dr Fayette County GA,072816001-5/30/2019-352500.0,120.926243567753,2019,2019,5,2019-5
2818,0731  003,901 WALT BANKS,2019-05-30,620000.0,2013,2804,901 Walt Banks Fayette County GA,0731  003-5/30/2019-620000.0,221.11269614835948,2019,2019,5,2019-5
2819,074518014,248 SILVER MAPLE CT,2019-05-29,395530.0,2019,2109,248 Silver Maple Ct Fayette County GA,074518014-5/29/2019-395530.0,187.5438596491228,2019,2019,5,2019-5
2820,074608018,710 PINE GRV,2019-05-29,388500.0,2004,2805,710 Pine Grv Fayette County GA,074608018-5/29/2019-388500.0,138.50267379679144,2019,2019,5,2019-5
2821,051817008,325 IVANHOE DR,2019-05-29,335000.0,2005,2928,325 Ivanhoe Dr Fayette County GA,051817008-5/29/2019-335000.0,114.41256830601093,2019,2019,5,2019-5
2822,0713  085,300 TYRONE RD,2019-05-29,198000.0,1900,1960,300 Tyrone Rd Fayette County GA,0713  085-5/29/2019-198000.0,101.0204081632653,2019,2019,5,2019-5
2823,073453010,1301 BLUE SKY CT,2019-05-29,480000.0,2007,3305,1301 Blue Sky Ct Fayette County GA,073453010-5/29/2019-480000.0,145.23449319213313,2019,2019,5,2019-5
2824,0551  006,262 KENWOOD RD,2019-05-29,130000.0,1961,2818,262 Kenwood Rd Fayette County GA,0551  006-5/29/2019-130000.0,46.132008516678496,2019,2019,5,2019-5
2825,072004002,185 ASPEN WAY,2019-05-29,300000.0,1988,2417,185 Aspen Way Fayette County GA,072004002-5/29/2019-300000.0,124.12081092263136,2019,2019,5,2019-5
2826,053901006,225 DEVILLA TRCE,2019-05-29,245500.0,1974,2166,225 Devilla Trce Fayette County GA,053901006-5/29/2019-245500.0,113.34256694367498,2019,2019,5,2019-5
2827,061108016,129 WICKERHILL,2019-05-29,362000.0,1985,2604,129 Wickerhill Fayette County GA,061108016-5/29/2019-362000.0,139.01689708141322,2019,2019,5,2019-5
